scenario,mode,committed_frames,total_cpu_s,cpu_per_frame_ms,interval_p50_ms,pipeline_med_ms,pipeline_max_ms,resolve_med_ms,measure_med_ms,place_med_ms,draw_med_ms,raster_med_ms,commit_med_ms,damage_cells_med,damage_cells_max,pct_zero_damage,focus_syncs_sum,anim_active_max
gallery-counter,sync,24,0.41,17.09,22.59,15.29,21.56,8.48,1.17,1.15,0.18,0.69,1.65,60,82,0,0,1
gallery-counter,async,22,0.443,20.13,31.97,14.68,21.63,7.85,1.57,1.18,0.18,0.66,1.42,60,82,0,0,1
gallery-life,sync,45,1.016,22.59,114.03,17.32,25.18,9.71,1.9,1.17,0.2,0.84,2.83,25,51,0,0,0
gallery-life,async,45,1.074,23.88,115.04,16.27,18.49,9.07,1.81,1.12,0.19,0.78,2.57,25,51,0,0,0
gallery-todo,sync,1,0.046,45.73,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-todo,async,1,0.038,38.22,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-forms-and-containers,sync,1,0.046,45.95,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-forms-and-containers,async,1,0.04,39.72,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-text-input,sync,1,0.042,42.4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-text-input,async,1,0.038,38.13,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-scroll-control,sync,16,0.461,28.83,23.92,18.61,31.5,12.31,5.18,1.43,0.2,1.08,2.54,13,581,33,0,0
gallery-scroll-control,async,16,0.469,29.29,26.32,18.34,31.86,11.3,4.44,1.41,0.19,0.99,2.3,13,581,33,0,0
gallery-calculator,sync,13,0.421,32.39,27.42,22.38,36.08,14.41,2.22,1.4,0.23,1.19,3.58,1,15,42,0,0
gallery-calculator,async,13,0.437,33.59,29.58,21.77,35.38,13.94,2.28,1.38,0.23,1.13,3.44,1,15,42,0,0
gallery-borders-and-shapes,sync,272,3.907,14.36,37.34,8.99,23.86,0.0,0.12,3.41,0.25,1.39,2.91,0,70,52,0,2
gallery-borders-and-shapes,async,258,3.576,13.86,38.87,6.24,23.09,0.0,0.15,0.6,0.24,1.38,3.0,70,70,0,0,1
gallery-presentation-lab,sync,1,0.036,35.92,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-presentation-lab,async,1,0.032,32.16,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-navigation-collections,sync,1,0.045,44.79,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-navigation-collections,async,1,0.039,38.75,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-images,sync,60,1.105,18.42,83.43,11.99,19.12,6.56,0.14,1.19,0.18,1.19,2.29,266,266,0,0,0
gallery-images,async,60,1.1,18.34,84.31,10.47,20.15,4.99,0.13,1.19,0.17,1.14,2.1,266,266,0,0,0
gallery-animations,sync,277,3.915,14.13,37.38,7.91,29.22,0.0,0.13,0.69,0.4,1.33,4.12,0,0,100,0,2
gallery-animations,async,274,5.579,20.36,36.44,13.95,28.93,0.0,0.84,2.15,0.36,1.12,3.49,0,0,100,0,2
gallery-file-drop,sync,1,0.03,30.05,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-file-drop,async,1,0.024,23.55,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-popovers,sync,1,0.038,38.28,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-popovers,async,1,0.032,32.01,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-pointer-lab,sync,1,0.034,33.7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-pointer-lab,async,1,0.027,26.58,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-focus-context,sync,1,0.037,36.59,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-focus-context,async,1,0.03,30.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
gallery-physics,sync,52,0.63,12.11,42.45,7.19,9.57,2.57,0.09,0.67,0.11,2.27,1.02,15,39,31,0,0
gallery-physics,async,52,0.689,13.25,42.33,6.85,9.71,2.46,0.09,0.64,0.11,2.17,0.97,15,39,31,0,0
gallery-task-progress,sync,246,3.3,13.41,48.12,8.25,12.94,3.83,0.21,0.61,0.16,0.64,2.12,4,58,7,0,0
gallery-task-progress,async,239,3.659,15.31,48.58,8.23,13.02,3.82,0.19,0.63,0.16,0.61,2.18,4,62,6,0,0
gallery-command-palette,sync,59,1.11,18.81,41.98,8.98,49.13,2.52,0.39,0.93,0.12,2.18,2.38,15,224,33,2,0
gallery-command-palette,async,56,1.136,20.28,42.38,8.87,38.49,2.47,0.39,0.92,0.11,2.03,2.52,15,224,29,1,0
